Id,Main_city_center,oefua_id
4941,1,USM17
3104,1,USM67
7826,1,USM101
7840,0,USM101
8189,0,USM64
8201,1,USM64
8207,0,USM64
8255,1,USM03
8261,0,USM03
8267,0,USM03
8279,0,USM03
8285,0,USM03
8291,0,USM03
6904,1,USM24
6999,0,USM24
7012,0,USM24
7064,0,USM24
7077,0,USM24
7987,1,USM58
7643,1,USM85
2471,1,USM19
2735,0,USM19
2799,0,USM19
2862,0,USM19
3045,0,USM19
7353,1,USM37
7404,0,USM37
7414,0,USM37
7559,1,USM36
7568,0,USM36
6817,1,USM89
7784,1,USM08
7812,0,USM08
7742,1,USM70
7691,0,USM04
7707,1,USM04
5913,1,USM102
7721,1,USM79
5428,0,USM65
5453,1,USM65
5478,0,USM65
6114,0,USM09
6150,0,USM09
6167,1,USM09
6285,0,USM09
6301,0,USM09
6317,0,USM09
6349,0,USM09
6381,0,USM09
7847,1,USM16
3789,0,USM46
4050,0,USM46
4092,1,USM46
4249,0,USM46
4363,0,USM46
6667,0,USM28
6697,1,USM28
3162,0,USM60
3328,0,USM60
3383,1,USM60
3834,0,USM60
6547,1,USM107
7777,0,USM55
7791,0,USM55
7798,1,USM55
7460,0,USM05
7469,0,USM05
7487,0,USM05
7496,0,USM05
7505,0,USM05
7523,0,USM05
7532,1,USM05
7541,0,USM05
7586,0,USM05
7595,0,USM05
7728,0,USM33
7735,1,USM33
7896,0,USM25
7903,0,USM25
7910,1,USM25
7917,0,USM25
7924,0,USM25
7931,0,USM25
7938,0,USM25
7945,0,USM25
6918,0,USM86
6932,1,USM86
6946,0,USM86
7181,1,USM12
6757,1,USM39
2007,1,USM10
2671,0,USM10
3489,0,USM10
3695,0,USM10
1148,1,USM59
1361,0,USM59
1560,0,USM59
1748,0,USM59
1923,0,USM59
1461,1,USM20
1656,0,USM20
2167,0,USM20
2246,0,USM20
2400,0,USM20
2607,0,USM20
2985,0,USM20
939,1,ES022C
48,1,ISL001C
394,1,IE001C
540,0,IE001C
681,0,IE001C
945,1,DZA00947
1286,0,DZA00947
3120,0,DZA03145
3343,0,DZA03145
3397,1,DZA03145
3708,0,DZA03145
3755,0,DZA03145
3800,0,DZA03145
3845,0,DZA03145
3934,0,DZA03145
1069,1,BE002C
689,1,BE003C
1778,1,BE005C
1393,1,BE004C
1290,1,BE001C
1493,0,BE001C
4055,1,CANG_1
3605,1,FR022C
3801,1,FR010C
4062,1,FR020C
2625,1,FR019C
1585,1,FR023C
1285,1,FR007C
2030,1,FR035C
818,1,FR008C
2268,1,FR004C
3978,1,FR003C
2491,0,FR001C
2688,0,FR001C
2752,0,FR001C
2815,0,FR001C
2878,1,FR001C
3287,0,FR001C
3396,0,FR001C
3449,1,FR009C
3891,1,FR011C
685,1,FR013C
2110,1,FR215C
3886,1,MAR03315
2747,1,MAR02317
1853,1,MAR01515
677,0,MAR00581
810,1,MAR00581
936,0,MAR00581
4015,1,MAR03457
2022,0,MAR01785
2102,1,MAR01785
2261,0,MAR01785
4407,1,MAR03845
1951,1,NL004C
2271,0,NL004C
825,0,NL002C
950,0,NL002C
1070,0,NL002C
1590,1,NL002C
1777,0,NL002C
1865,0,NL002C
2113,0,NL002C
2192,0,NL002C
2349,0,NL002C
2627,1,NL005C
2881,0,NL005C
65,0,NL003C
1185,1,NL003C
66,1,NO002C
245,0,NO002C
231,1,PT001C
392,0,PT001C
538,0,PT001C
679,0,PT001C
812,0,PT001C
1058,1,PT002C
4485,1,ES021C
382,1,ES025C
1059,1,ES026C
3974,1,ES019C
4522,1,ES003C
1941,0,ES004C
2024,1,ES004C
2104,0,ES004C
3229,0,ES001C
3338,1,ES001C
3550,0,ES001C
3654,0,ES001C
3704,0,ES001C
3752,0,ES001C
3797,0,ES001C
4849,0,ES002C
4915,0,ES002C
4947,0,ES002C
4978,0,ES002C
5009,0,ES002C
5040,0,ES002C
5071,1,ES002C
5102,0,ES002C
5132,0,ES002C
4333,1,ES005C
3056,0,ES006C
3115,1,ES006C
4257,1,ES007C
2997,1,ES009C
672,1,ES008C
806,0,ES008C
5161,1,ES010C
3446,1,ES501C
5218,1,UK023C
4059,1,UK016C
2417,0,UK011C
3058,1,UK011C
6080,1,UK017C
3888,1,UK002C
4370,0,UK002C
4180,0,UK003C
4219,0,UK003C
4294,0,UK003C
4332,1,UK003C
4408,0,UK003C
4778,0,UK003C
5008,0,UK003C
683,1,UK004C
941,0,UK004C
1061,0,UK004C
1176,0,UK004C
1282,0,UK004C
3230,0,UK008C
3340,1,UK008C
3499,0,UK008C
2264,1,UK006C
2557,0,UK006C
5131,1,UK560C
5039,0,UK014C
5246,0,UK014C
5327,1,UK014C
1769,0,UK007C
2186,1,UK007C
1943,1,UK009C
4595,1,UK520C
4946,0,UK520C
4521,0,UK025C
4558,1,UK025C
5160,0,UK025C
5455,1,UK528C
4706,1,UK010C
4848,0,UK010C
4881,0,UK010C
4914,0,UK010C
4446,1,UK013C
5816,1,UK001C
5953,0,UK001C
6026,0,UK001C
6062,0,UK001C
6116,0,UK001C
6152,0,UK001C
6169,0,UK001C
6237,0,UK001C
5915,1,UK515C
4742,1,UK518C
5934,1,UK026C
4017,1,UK539C
5070,1,UK029C
5189,0,UK029C
235,1,UK012C
396,0,UK012C
724,1,BLR00799
1609,1,BLR01569
1701,0,BLR01569
442,1,MDA00282
4538,1,IRN04397
4649,0,IRN04397
68,1,LU001C
436,1,MKD00441
579,0,MKD00441
87,1,MT001C
467,1,GEO00826
67,1,DE507C
5043,1,DE033C
5304,1,DE008C
3346,1,DE084C
2034,1,DE504C
3236,0,DE005C
3400,1,DE005C
3803,0,DE005C
826,1,DE011C
4064,1,DE013C
2944,1,DE020C
1072,0,DE004C
1186,1,DE004C
4918,1,DE032C
3291,1,DE035C
2756,1,DE027C
1396,1,DE034C
4337,1,DE039C
4747,1,DE083C
4819,0,DE083C
5433,0,DE001C
5483,1,DE001C
5508,0,DE001C
4184,1,DE002C
4451,0,DE002C
5249,1,DE003C
3893,0,DE007C
3937,0,DE007C
4022,1,DE007C
4526,0,DE007C
5532,1,DE009C
3004,0,DE012C
3064,0,DE012C
3180,1,DE012C
4981,1,DE014C
5012,0,DE014C
5221,1,DE018C
693,1,DE038C
1495,0,DE038C
1779,0,DE038C
1867,0,DE038C
2114,0,DE038C
2424,0,DE038C
854,1,EL001C
585,1,EL002C
840,0,HU001C
964,1,HU001C
1084,0,HU001C
5231,1,IRN04845
5259,0,IRN04845
7162,1,IRN06211
6141,1,IRN05666
4929,0,IRN04686
4961,0,IRN04686
4992,0,IRN04686
5023,0,IRN04686
5085,0,IRN04686
5174,1,IRN04686
1432,1,IRN00967
3627,1,IRN03677
6911,1,IRN06042
879,1,IRN00417
5720,1,IRN05291
5803,0,IRN05291
5843,0,IRN05291
6897,1,IRN06030
3084,1,IRN03000
3307,1,IRQ02709
3416,0,IRQ02709
3571,0,IRQ02709
3722,0,IRQ02709
3815,0,IRQ02709
601,1,ISR00564
1318,0,ISR00564
1886,0,ISR00564
457,1,ISR00419
1101,0,ISR00419
1420,0,ISR00419
1520,0,ISR00419
1616,0,ISR00419
2131,0,ISR01507
2289,1,ISR01507
3347,1,IT028C
3454,1,IT011C
3610,0,IT011C
3005,1,IT007C
4820,1,IT010C
3849,0,IT001C
3894,0,IT001C
3938,1,IT001C
4106,0,IT001C
4146,0,IT001C
4185,0,IT001C
3065,1,IT009C
1782,1,IT511C
70,1,IT004C
2694,1,IT012C
4490,1,IT003C
4564,0,IT003C
4601,0,IT003C
1074,1,IT006C
4376,1,IT005C
4414,0,IT005C
5136,0,IT008C
5194,1,IT008C
954,0,IT002C
1189,0,IT002C
1498,1,IT002C
992,1,JOR00567
1802,0,JOR00567
1634,1,KAZ01510
149,0,KWT00429
321,0,KWT00429
475,1,KWT00429
102,1,LV001C
458,1,LBN00431
742,0,LBN00431
258,1,LBY00433
578,1,LT001C
714,1,ALB00650
5303,1,DZA04709
5329,0,DZA04709
5381,0,DZA04709
5407,0,DZA04709
312,1,ARM00359
701,1,AT003C
961,1,AT002C
1081,1,AT001C
2062,0,AZE01744
2221,1,AZE01744
152,1,BHR00016
1778,1,BE005C
426,1,BIH00798
285,1,BG002C
109,1,BG001C
856,1,BG003C
419,1,HR001C
123,0,CY001C
450,1,CY001C
1194,1,CZ002C
416,0,CZ001C
560,1,CZ001C
1404,1,CZ003C
1504,0,CZ003C
249,1,DK002C
557,0,DK001C
698,1,DK001C
3135,0,EGY03981
3670,0,EGY03981
3812,0,EGY03981
4343,0,EGY03981
4457,0,EGY03981
4605,1,EGY03981
4922,0,EGY03981
6029,0,EGY03981
6155,0,EGY03981
6206,0,EGY03981
6223,0,EGY03981
6257,0,EGY03981
6274,0,EGY03981
6322,0,EGY03981
6338,0,EGY03981
6386,0,EGY03981
6401,0,EGY03981
6416,0,EGY03981
6566,0,EGY03981
6611,0,EGY03981
291,1,EGY00233
447,0,EGY00233
7222,1,EGY06229
7257,0,EGY06229
7290,0,EGY06229
4985,0,EGY04710
5078,0,EGY04710
5167,1,EGY04710
5672,0,EGY04710
7132,1,EGY06038
6990,1,EGY05952
4230,1,EGY03715
99,1,EE001C
425,1,FI002C
572,1,FI001C
4260,1,FR026C
4782,1,FR006C
4412,1,FR016C
4143,0,FR203C
4182,1,FR203C
4221,0,FR203C
4746,1,FR205C
4450,1,FR032C
272,1,MNE00116
3452,1,NL007C
2881,0,NL005C
828,1,NO001C
4301,1,PL011C
1874,1,PL008C
3183,1,PL002C
3712,1,PL001C
3760,0,PL001C
3850,0,PL001C
1599,1,PL004C
3662,1,PL003C
1402,1,PL005C
1786,0,PL006C
1959,0,PL006C
2039,0,PL006C
2198,1,PL006C
80,1,PL007C
4339,1,PL009C
2948,0,PL010C
3008,1,PL010C
3239,0,PL010C
3294,0,PL010C
2359,1,RO001C
2571,1,RO502C
586,1,RU00750
725,0,RU00750
852,0,RU00750
2438,0,RU02262
2576,1,RU02262
2641,0,RU02262
2705,0,RU02262
