Id,Main_city_center,oefua_id
1023,0,TKM01138
1138,1,TKM01138
2203,1,UR02203
2737,1,UR02737
3608,1,UR03608
3128,1,UR03128
773,1,UR00773
3818,1,UR03818
3780,1,UR03780
2481,1,UZB02481
7466,1,IND07466
10496,1,IND10496
9500,1,IND09500
5617,1,IND05617
2091,1,IND02091
4396,1,IND04396
3357,1,IND03357
4685,1,IND04685
7270,0,IND07320
7320,1,IND07320
7933,1,IND07933
8006,0,IND07933
10017,1,IND10017
7895,1,IND07895
6065,1,IND06065
8722,1,IND08722
7643,1,IND07643
8848,1,IND08848
8976,0,IND08848
9195,1,IND09195
9322,0,IND09195
10007,1,IND10007
8224,1,IND08224
6781,1,IND06781
8144,1,IND08144
5324,1,IND05324
7957,1,IND07957
708,1,JPN04C
266,1,JPN05C
843,1,JPN09C
2583,1,KAZ02583
1091,1,KYR01091
2352,1,AFG02352
7004,1,CHN07004
10328,1,CHN10328
6640,1,CHN06640
8057,1,CHN08057
7798,1,CHN07798
8185,1,CHN08185
7052,1,CHN07052
7359,1,CHN07359
8981,1,CHN08981
8620,1,CHN08620
9423,1,CHN09423
8989,1,CHN08989
8644,1,CHN08644
9459,1,CHN09459
8963,1,CHN08963
3828,1,CHN03828
9917,1,CHN09917
9743,1,CHN09743
8777,1,CHN08777
7884,1,CHN07884
9831,1,CHN09831
8476,1,CHN08476
7441,1,CHN07441
9487,1,CHN09487
9393,1,CHN09393
8664,1,CHN08664
9333,1,CHN09333
8506,1,CHN08506
8973,1,CHN08973
8043,1,CHN08043
7088,1,CHN07088
8909,1,CHN08909
9192,1,CHN09192
9793,1,CHN09793
5963,1,CHN05963
8630,1,CHN08630
6206,1,CHN06206
2293,1,CHN02293
8658,1,CHN08658
4760,1,CHN04760
9981,1,CHN09981
7704,1,CHN07704
7578,1,CHN07578
9531,1,CHN09531
7656,1,CHN07656
8249,1,CHN08249
8358,1,CHN08358
10097,1,CHN10097
5335,1,CHN05335
7912,1,CHN07912
8366,1,CHN08366
8552,1,CHN08552
8699,1,CHN08699
9186,1,CHN09186
6950,1,CHN06950
7960,1,CHN07960
8302,1,CHN08302
9805,1,CHN09805
8159,1,CHN08159
10118,1,CHN10118
8298,1,CHN08298
7962,1,CHN07962
8578,1,CHN08578
7952,1,CHN07952
8566,1,CHN08566
9261,1,CHN09261
7590,1,CHN07590
9987,1,CHN09987
9963,1,CHN09963
8039,1,CHN08039
9108,1,CHN09108
5738,1,CHN05738
7744,1,CHN07744
9731,1,CHN09731
8753,1,CHN08753
8157,1,CHN08157
10078,1,CHN10078
9703,1,CHN09703
9184,1,CHN09184
9769,1,CHN09769
9208,1,CHN09208
9525,1,CHN09525
4150,1,CHN04150
9701,1,CHN09701
7748,1,CHN07748
9100,1,CHN09100
8781,1,CHN08781
7492,1,CHN07492
7832,1,CHN07832
7906,0,CHN07832
8510,1,CHN08510
10392,1,CHN10392
7364,1,CHN07364
5939,1,CHN05939
9309,1,CHN09309
8895,1,CHN08895
7540,1,CHN07540
8556,1,CHN08556
8626,1,CHN08626
6944,1,CHN06944
8274,1,CHN08274
5723,1,CHN05723
8356,1,CHN08356
10339,1,CHN10339
8330,1,CHN08330
8967,1,CHN08967
9629,1,CHN09629
10282,1,CHN10282
8075,1,CHN08075
9008,1,CHN09008
9617,1,CHN09617
10024,1,CHN10024
9325,1,CHN09325
9299,1,CHN09299
8456,1,CHN08456
7094,1,CHN07094
8189,1,CHN08189
8604,1,CHN08604
8372,1,CHN08372
9469,1,CHN09469
10136,1,CHN10136
8055,1,CHN08055
8747,1,CHN08747
9263,1,CHN09263
8935,1,CHN08935
9062,1,CHN09062
8334,1,CHN08334
8332,1,CHN08332
117,1,MON00117
1525,1,NPL01525
1112,1,PAK01112
6153,1,PAK06153
6190,0,PAK06153
6348,0,PAK06153
5717,1,PAK05717
3270,1,PAK03270
5621,1,PAK05621
6413,0,PAK06422
6422,1,PAK06422
6366,0,PAK06458
6458,1,PAK06458
6280,1,RU06280
6340,1,RU06340
6495,1,RU06495
6522,1,RU06522
6311,1,RU06311
6423,1,RU06423
3211,1,KOR07C
94,1,KOR01C
271,0,KOR01C
3057,1,KOR02C
3262,0,KOR02C
2453,1,KOR03C
2246,1,KOR04C
1782,1,KOR05C
2835,1,KOR06C
5129,1,JPN01C
5377,0,JPN01C
2382,1,JPN11C
5091,1,JPN14C
4400,1,JPN15C
5149,1,JPN16C
3055,1,JPN19C
3209,1,JPN25C
3956,1,JPN02C
4532,1,JPN03C
708,1,JPN04C
4822,1,JPN06C
3549,1,JPN07C
2648,1,JPN08C
843,1,JPN09C
